0;38;27;24;29;27;36;26;31;34
6;30;26;30;24;27;11;40;40;28
61;12;26;31;30;37;0;22;23;26
619;0;14;30;25;25;0;21;14;14
6195;0;0;100;0;0;0;0;0;0
61954;0;20;20;20;0;0;20;20;0
619548;0;0;100;0;0;0;0;0;0
6195483;0;33;33;0;0;0;33;0;0
7;23;25;23;37;26;28;11;38;33
75;47;26;25;25;12;28;0;26;37
756;32;25;27;28;0;14;0;22;28
7563;33;22;16;25;0;0;0;21;16
75632;20;20;0;26;0;0;0;20;20
756324;25;0;0;25;0;0;0;32;25
7563248;33;0;0;0;0;0;0;33;33
75632489;100;0;0;0;0;0;0;0;50
756324891;100;0;0;0;0;0;0;0;0
2;27;11;25;24;23;34;27;25;26
27;24;0;26;26;32;25;12;44;25
274;25;0;14;14;41;26;0;16;27
2745;19;0;16;0;16;20;0;32;22
27451;20;0;20;0;0;20;0;20;20
274519;0;0;100;0;0;0;0;0;0
2745193;0;0;33;0;0;33;0;33;0
9;24;25;32;34;32;38;26;29;11
92;24;12;35;24;23;24;21;26;0
921;14;0;17;14;25;20;21;19;0
9218;0;0;0;0;100;0;0;0;0
92184;0;0;20;20;20;20;20;0;0
921847;0;0;0;0;100;0;0;0;0
9218475;0;0;33;0;33;33;0;0;0
8;28;25;32;32;27;25;25;11;46
85;28;26;26;27;12;26;28;0;24
854;27;23;24;14;0;24;18;0;24
8549;16;20;16;0;0;16;16;0;16
85493;100;20;20;0;0;20;20;0;0
854931;25;25;0;0;0;25;25;0;0
79;40;29;28;22;44;25;0;23;12
791;14;14;19;34;19;20;0;19;0
7914;0;26;30;16;36;26;0;26;0
79143;0;20;20;0;35;20;0;20;0
791435;0;100;0;0;0;0;0;0;0
7914356;0;33;0;0;0;33;0;33;0
79143568;0;100;0;0;0;0;0;0;0
791435682;0;100;0;0;0;0;0;0;0
1;11;41;29;25;23;28;30;32;40
12;0;12;33;25;42;31;27;27;40
124;0;0;14;14;14;17;29;24;19
1243;0;0;0;0;0;0;100;0;0
12437;0;0;0;0;20;20;20;20;20
67;28;28;31;46;36;0;12;27;25
674;23;19;14;14;24;0;0;20;25
6741;0;0;0;0;100;0;0;0;0
67419;0;20;20;0;20;0;0;26;20
674198;0;32;25;0;25;0;0;25;0
6741982;0;33;33;0;33;0;0;0;0
67419823;0;0;0;0;100;0;0;0;0
