Dostoïevski;Fiodor;1821-11-11;1;1
Kafka;Franz;1883-07-03;2;2
García Márquez;Gabriel;1927-03-06;3;3
Orwell;George;1903-06-25;4;4
Flaubert;Gustave;1821-12-12;5;5
Ibsen;Henrik;1828-03-20;6;7
Tolstoï;Léon;1828-09-09;7;1
Shikibu;Murasaki;0973-01-01;8;8
Mann;Thomas;1875-06-06;9;9
Woolf;Virginia;1892-01-25;10;4
Faulkner;William;1897-09-25;11;10
Shakespeare;William;1564-01-01;12;4
Kawabata;Yasunari;1899-06-11;13;8
Barjavel;René;1911-01-24;14;5
